NAME,TRANSITSCORE,WALKSCORE,VALUEINCREASEPAST,VALUEINCREASEFUTURE,MEDIANVALUE
Johns,89,77,-3,3,1402000
Sauer,75,86,1,0,2012000
Borer,88,78,1,2,1690000
Gerhold,90,83,2,2,2119000
Stokes,90,88,0,1,1761000
Weber,92,99,-3,-1,2130000
Friesen,84,75,0,4,1667000
Rice,88,71,-2,2,1457000
Mueller,88,70,-2,-2,2181000
Armstrong,71,86,4,-2,2054000
Rowe,88,78,-2,4,1923000
Funk,89,86,0,-3,2110000
Douglas,85,76,4,4,2005000
Runolfsdottir,86,95,-2,2,1909000
O'Kon,94,78,0,1,2166000
Kassulke,75,72,-1,4,1332000
Wisoky,70,81,2,-1,1653000
Johnson,96,79,-1,-3,1731000
Jacobson,87,81,1,-3,1686000
Gislason,82,90,3,2,1905000
Sauer,94,84,-1,1,1984000
Torphy,94,80,-2,3,1685000
Raynor,97,78,-2,-3,1328000
Murray,91,83,1,0,2146000
Eichmann,75,77,-1,-1,1985000
Murphy,73,92,2,0,1769000
Miller,73,75,4,-1,1536000
Bailey,91,80,-3,1,2037000
Dietrich,86,84,2,-2,1745000
Tillman,97,94,-2,-1,1777000
Walsh,75,98,-3,-2,1624000
Torp,75,95,0,1,1427000
Gottlieb,90,99,1,2,2003000
Ward,75,73,-3,4,1553000
Reilly,92,71,1,-2,2058000
Labadie,94,81,3,3,1716000
Hagenes,70,72,-2,4,1352000
Gulgowski,96,79,4,4,1211000
Reilly,71,82,2,-2,1449000
Runolfsdottir,73,91,-2,4,1923000
Thompson,75,76,4,3,2132000
Brakus,70,89,-3,-3,1734000
Medhurst,96,73,-2,0,2136000
McGlynn,84,82,1,-1,1135000
Mayer,83,95,4,-3,1718000
Daugherty,97,72,-2,3,1538000
O'Connell,83,73,2,-1,1607000
Schumm,87,97,-2,0,2004000
DuBuque,90,75,-1,2,2150000
Lebsack,83,93,-2,-1,1123000
Muller,91,83,-1,-3,1781000
Hermiston,79,70,4,3,1760000
Cormier,95,74,2,1,1757000
Labadie,70,95,4,-3,2128000
Skiles,81,88,2,3,2032000
Tillman,85,85,-2,-1,2111000
Toy,81,92,1,4,1699000
Schmitt,94,86,3,-1,1739000
Franecki,88,82,-3,4,1783000
Berge,92,99,4,3,1619000
Frami,83,99,-1,-3,1996000
Hintz,78,98,-2,2,1648000
Spencer,73,90,1,-2,1682000
Klocko,70,76,2,4,1974000
Bins,87,93,-2,0,1299000
Metz,74,72,-3,0,1731000
Price,95,72,1,1,1336000
Fritsch,73,76,0,4,1581000
Powlowski,97,84,-3,-2,1395000
Kulas,71,91,4,-2,1787000
Bashirian,77,93,1,4,1485000
Mitchell,80,72,-3,0,1297000
Ernser,91,82,1,0,1346000
Considine,75,87,2,0,1952000
Mohr,71,72,3,4,1624000
McCullough,70,78,4,1,2111000
Ward,77,94,-2,3,1677000
Beatty,90,96,3,2,1218000
Klein,78,75,2,-3,1830000
Marquardt,77,90,3,-2,1559000
Rau,93,78,1,1,2005000
Altenwerth,90,73,-3,2,1579000
Goyette,89,85,1,-2,1859000
Grimes,70,74,0,0,1480000
Torphy,73,86,4,-1,2038000
Bernhard,98,92,4,-3,1989000
Klocko,74,75,-3,0,1739000
Tremblay,82,89,0,2,2049000
Gibson,85,90,-2,-2,1468000
Nitzsche,76,97,-1,-2,1322000
Treutel,94,84,1,2,2160000
Nikolaus,98,76,1,-2,2141000
Bauch,80,79,-3,4,2169000
Auer,95,88,-3,3,1270000
Williamson,74,78,3,1,1703000
Hilll,81,95,0,1,1843000
Hettinger,73,96,0,4,1151000
Moen,86,77,4,3,1815000
Zulauf,93,83,-1,1,1916000
Kautzer,75,84,-2,1,1346000
Kilback,92,93,3,3,2013000
Bergnaum,89,96,4,2,2079000
Haley,82,95,4,4,1542000
Bode,99,73,0,-1,1227000
McGlynn,88,71,0,3,1644000
Hickle,86,86,2,-1,1478000
Gusikowski,86,95,4,1,1750000
Barrows,80,72,1,0,1209000
Bode,84,72,-1,-3,1791000
Leannon,76,92,-3,3,1869000
Rolfson,91,77,-1,0,1254000
Bahringer,90,98,-1,1,1589000
Hickle,99,71,0,1,1156000
Little,70,89,4,0,1529000
Cruickshank,78,71,0,1,2039000
Murazik,99,90,-2,-3,1139000
O'Conner,78,95,1,1,1107000
Cummerata,71,90,0,1,1202000
Braun,70,96,4,0,1785000
Ward,92,77,4,0,1142000
Mann,75,99,0,-3,1708000
Wilkinson,80,92,1,2,2122000
Nienow,76,96,-1,1,1177000
Huels,78,90,4,1,1967000
Donnelly,70,93,4,1,1900000
Crona,90,82,1,2,1258000
Kozey,89,92,2,4,1184000
Nikolaus,80,73,-2,0,1999000
Lynch,89,73,2,2,2175000
Steuber,89,94,-1,-1,1534000
Mante,71,78,-3,3,2182000
